Trial,Speed Reached,Time to 30,Time to 60,Time to 100,Time to Completion
1,101.9638,3.512802,6.841782,21.22942,24.5763
2,100.0523,4.959961,10.53584,22.01532,27.18338
3,38.74321,11.14407, , ,53.85929
4,77.54942,3.325593,9.625021, ,29.38571
5,100.1227,4.112527,7.496305,13.17197,24.28406
6,150.6362,3.207276,6.280066,11.34693,20.70332
7,100.1074,3.166176,6.865621,13.32124,23.74194
8,56.7438,5.673001, , ,38.63221
9,165.3302,3.003961,5.524622,9.580608,19.11978
10,67.25031,8.00091,22.48749, ,37.72764
11,33.39521,17.48311, , ,62.31815
12,88.70321,4.065675,8.503393, ,27.52508
13,57.26656,6.275707, , ,38.87222
14,120.1761,3.468827,5.921949,12.00906,22.08129
15,93.11916,5.070661,10.51031, ,28.58458
16,119.7639,4.925551,9.70975,18.82885,25.68089
17,102.3633,3.132886,7.605177,22.66016,25.09395
18,95.84176,7.359697,15.04794, ,31.71983
19,76.47891,4.627779,13.66014, ,31.81544
20,100.1427,2.665731,5.769239,10.8215,22.75667
21,197.8524,2.299025,4.496075,7.566255,16.76869
22,76.46558,5.423446,14.4114, ,32.5349
23,61.23719,6.571467,31.9619, ,38.36582
24,65.73813,5.373491,17.34537, ,34.96542
25,119.7159,4.919737,9.738862,18.83809,25.65838
26,51.79878,6.45084, , ,41.68318
27,95.81239,6.2585,13.94576, ,30.58149
28,70.37019,6.187818,18.35669, ,35.06448
29,80.6199,5.917144,13.97388, ,32.14608
30,65.74016,4.112471,16.10554, ,33.72562
31,92.06006,2.900204,7.60038, ,25.94348
32,58.34764,4.886122, , ,37.22904
33,132.3565,3.220468,7.056903,13.94426,22.46085
34,47.84781,7.575385, , ,44.7709
35,82.8941,4.278497,11.7538, ,30.038
36,139.7885,5.426603,8.947043,15.00588,23.88372
37,105.9647,2.941623,7.093935,19.51432,24.36517
38,105.9647,2.933922,7.100922,19.51077,24.37389
39,150.0718,3.337199,5.405594,9.141221,19.39743
40,62.33355,7.404736,23.86066, ,37.93272
41,100.1153,3.013315,6.56512,12.6164,23.49001
42,33.39516,17.48419, , ,62.31555
43,113.475,4.776046,10.00363,20.64414,26.31213
44,67.08652,4.500601,14.97295, ,33.5142
45,150.5354,3.938357,7.037872,12.09178,21.42518
46,62.33953,5.185993,21.67272, ,35.87646
47,57.26594,6.251639, , ,38.85103
48,80.27737,3.103256,8.988235, ,28.54602
49,76.45944,5.414762,14.43498, ,32.519
50,62.3386,5.220615,21.67567, ,35.8479
51,84.80889,7.808993,14.75916, ,33.05087
52,69.05531,6.446239,19.40172, ,35.65802
53,100.1325,2.706138,5.874352,11.19349,22.86584
54,80.27135,3.719337,9.554249, ,29.1107
55,84.79954,7.933648,14.77659, ,33.0258
56,53.78085,8.095166, , ,42.27343
57,94.31276,6.362863,14.26305, ,30.96643
58,100.1816,2.990496,5.495233,9.546621,22.55209
59,150.1557,3.105677,5.305523,8.790145,18.80914
60,84.80905,4.868373,11.82422, ,30.11154
61,95.84176,7.325216,15.04037, ,31.71618
62,65.73813,5.390594,17.32673, ,34.95222
63,87.4287,6.135184,12.45861, ,30.73131
64,87.4287,6.093462,12.45779, ,30.73334
65,69.05531,6.475771,19.38358, ,35.65612
66,38.74347,10.06915, , ,52.93174
67,81.36795,5.614796,13.38296, ,31.55912
68,82.86178,5.071434,12.50828, ,30.74798
69,49.15907,11.02285, , ,47.54632
70,95.2109,4.526429,8.428738, ,26.81832
71,127.0093,2.994855,5.978806,12.3784,21.71872
72,92.00758,5.273129,11.10935, ,29.14872
73,41.9791,8.488676, , ,49.27103
74,131.5342,3.911866,7.931931,15.04786,23.33585
75,58.34494,7.059823, , ,39.30746
76,46.35393,6.993371, , ,45.24168
77,148.7639,4.551598,7.755061,13.00992,22.2582
78,93.13356,3.496028,8.932226, ,27.03987
79,61.23164,7.241323,32.63747, ,39.00397
80,67.25475,6.632096,21.11455, ,36.37135
81,41.97888,9.254283, , ,49.98449
82,69.49263,3.787629,13.02327, ,32.11563
83,60.05452,7.706791,39.41489, ,39.81507
84,100.283,2.248221,4.011773,6.748727,21.23605
85,71.68828,3.614651,11.83891, ,31.32656
86,95.21239,3.219056,7.153588, ,25.50916
87,150.1091,2.523616,5.059852,9.375777,19.10004
88,69.49284,4.357169,13.57871, ,32.68492
89,120.1753,2.463862,4.881231,10.98427,21.03795
90,150.1237,2.980061,5.511092,9.547384,19.2513
91,62.33261,7.423076,23.8805, ,37.91791
92,94.3197,5.619243,13.52325, ,30.24292
93,152.8239,2.444318,5.079279,9.63132,19.38419
94,74.33775,4.506065,11.68929, ,31.26322
95,127.1237,2.54106,5.508202,11.79989,21.20681
96,100.1932,2.20401,4.670503,8.570772,21.79425
97,69.49112,4.341841,13.58173, ,32.67062
98,95.83968,6.202048,13.93775, ,30.61022
99,109.7167,2.590536,5.926398,15.3309,22.88239
100,47.84882,6.584128, , ,43.93612
101,113.4938,4.803431,10.04012,20.7064,26.35827
102,76.45269,6.613849,15.63851, ,33.74606
103,93.1458,3.497831,8.950139, ,27.05737
104,100.1227,5.874845,9.224283,14.87907,26.07927
105,51.7984,8.61924, , ,43.83458
106,95.81239,6.253263,13.92107, ,30.58061
107,146.5728,4.223167,7.391076,12.71457,21.97935
108,65.73677,5.390196,17.34006, ,34.94756
109,33.24788,15.63634, , ,60.45469
110,99.29806,7.207319,12.09455, ,29.6984
111,154.7417,2.35403,4.421468,8.120693,18.36118
112,106.8992,6.651554,12.75852,25.81092,29.24195
113,69.06959,5.456038,18.34376, ,34.6995
114,90.49304,6.890708,15.62599, ,32.20127
115,100.0156,3.733685,7.033091,21.44304,24.87506
116,41.97919,8.501663, , ,49.3003
117,100.1816,2.505998,5.206069,9.09376,22.16104
118,100.2163,3.135794,5.335457,8.803229,22.49102
119,134.1971,2.645351,5.296912,10.63438,20.54857
120,70.37019,6.183472,18.33979, ,35.04414
121,146.6493,4.239366,7.386862,12.73146,21.99548
122,95.2109,4.527941,8.444251, ,26.81896
123,132.2797,3.756633,7.591862,14.45989,22.96397
124,118.7593,3.853343,7.152706,14.88907,23.47666
125,100.0416,2.58473,5.90092,15.32695,23.27755
126,74.14451,4.921032,14.99273, ,32.73228
127,95.87856,5.569397,13.26964, ,29.97693
128,121.5522,3.864936,8.568997,17.35275,24.45796
129,84.80905,4.889232,11.80898, ,30.11735
130,95.2666,2.726655,6.728269, ,24.96782
131,165.5927,3.887017,6.408937,10.45447,20.07898
132,95.27361,2.742801,6.758215, ,25.00229
133,81.4241,4.343544,12.07483, ,30.39917
134,95.21239,3.219379,7.119832, ,25.51179
135,77.54942,3.170412,9.474316, ,29.24624
136,51.7984,8.616513, , ,43.82735
137,92.04858,3.461735,7.596116, ,26.2205
138,56.74441,5.65788, , ,38.66986
139,47.84921,6.586461, , ,43.9603
140,65.73881,4.148059,16.13623, ,33.74485
141,74.35215,3.373909,10.54166, ,30.26479
142,94.31894,8.415952,16.31197, ,32.99947
143,78.32026,4.667926,11.01937, ,30.59562
144,92.00758,5.287581,11.10297, ,29.16302
145,92.00089,4.267595,10.08764, ,28.12719
146,102.3208,5.45084,9.971525,25.04377,27.41127
147,61.23719,6.618384,31.96165, ,38.38132
148,70.36537,6.205968,18.32665, ,35.0336
149,92.02692,3.713943,9.550712, ,27.62219
150,176.8313,2.488149,4.701746,8.185043,17.8063
151,82.86311,6.371171,13.8389, ,32.07779
152,74.33775,4.526404,11.66782, ,31.27215
153,90.49304,6.916923,15.63732, ,32.2311
154,56.74527,5.10701, , ,38.13786
155,48.7541,8.489585, , ,45.25059
156,94.31276,6.386621,14.27645, ,30.98037
157,74.15019,4.956173,15.01099, ,32.76775
158,90.46463,7.895082,16.62721, ,33.17643
159,100.0701,7.06987,11.86459,20.98521,28.5543
160,119.8186,3.871511,8.664002,17.81805,24.67082
161,139.7749,5.515221,9.052185,15.12717,23.98753
162,96.33478,4.703965,9.891768, ,27.76323
163,100.0969,3.406621,7.406058,14.52617,24.23022
164,111.0537,4.947806,10.51554,22.00779,26.9082
165,58.34423,7.051843, , ,39.28417
166,131.5735,4.993266,9.029115,16.12906,24.43219
167,150.1237,2.524088,5.226698,9.112133,18.89599
168,118.5537,3.974338,8.909518,18.33023,24.94952
169,80.62475,4.442056,12.46191, ,30.68575
170,67.08542,5.670946,16.12362, ,34.648
171,127.0417,3.88791,6.888702,13.272,22.65902
172,101.9833,3.755064,7.055098,21.44711,24.8334
173,134.1749,3.546434,6.190032,11.51352,21.4309
174,76.47891,4.660019,13.65692, ,31.816
175,96.33422,3.398649,8.599321, ,26.47452
176,123.4165,4.483227,8.987648,17.39262,24.79536
177,123.4165,4.497347,9.001313,17.39146,24.80549
178,80.62475,4.473793,12.49332, ,30.7013
179,41.97879,9.255078, , ,49.93647
180,49.15906,10.07324, , ,46.58511
181,100.0813,2.686568,6.118455,12.77075,23.12586
182,100.0692,2.673064,5.857378,13.57762,23.16451
183,146.7431,2.720024,5.888364,11.19372,20.5121
184,100.0523,6.410494,11.9638,23.46676,28.63573
185,126.9748,2.990978,5.994386,12.35049,21.6982
186,56.7527,9.300497, , ,42.6593
187,94.31276,6.372597,14.27631, ,30.95796
188,123.4437,5.903293,10.38655,18.75875,26.21223
189,100.1325,4.235845,7.373795,12.73157,24.36032
190,92.06006,2.867354,7.567538, ,25.94356
191,100.0813,3.153991,6.273649,13.16194,23.46242
192,46.35393,7.126614, , ,45.22145
193,74.14282,5.535738,15.60873, ,33.34667
194,67.08542,5.642098,16.11558, ,34.63969
195,57.27137,4.987571, , ,37.75124
196,100.0372,3.635988,7.837152,19.6079,25.14326
197,93.11831,4.026249,9.46219, ,27.53427
198,100.1074,3.664688,7.398789,13.85194,24.25503
199,77.54256,5.071626,11.39132, ,31.08276
200,60.06632,5.355546,35.46572, ,36.93588
201,60.06347,6.712686,38.4021, ,38.88327
202,113.4425,6.765841,12.03352,22.65361,28.28978
203,58.34764,4.865479, , ,37.22496
204,87.43449,4.784042,11.1192, ,29.40241
205,71.67963,4.514291,12.78619, ,32.14227
206,47.84673,11.51561, , ,48.59575
207,67.24625,7.979031,22.48217, ,37.69127
208,100.0838,4.340734,8.575164,16.41236,25.34808
209,134.2136,3.541717,6.19364,11.51844,21.4498
210,105.2243,7.790916,14.00706,27.76326,30.54768
211,67.24625,7.98372,22.46421, ,37.66749
212,94.31894,8.384242,16.30865, ,33.02408
213,100.0376,7.024549,13.50744,28.14664,30.11116
214,67.2674,5.795906,20.23567, ,35.54418
215,80.78554,8.796642,20.40723, ,36.14743
216,81.37694,8.26323,15.9711, ,34.20266
217,56.74425,6.222211, , ,39.23248
218,77.54256,5.076467,11.37929, ,31.1019
219,76.47891,4.621859,13.64176, ,31.81342
220,113.4018,6.778324,12.01427,22.66177,28.26225
221,121.4565,6.025258,10.72475,19.51247,26.58147
222,100.0425,3.505563,7.505199,18.27742,24.78121
223,136.0517,3.171762,6.872055,13.34301,22.04753
224,70.37486,5.403599,17.5231, ,34.26307
225,61.23259,8.324914,33.69875, ,40.06681
226,100.1227,2.862936,6.223153,11.90682,23.17826
227,80.62791,5.945804,13.96592, ,32.15904
228,103.4376,4.925489,11.49296,26.13306,28.1004
229,105.2788,5.53008,11.75434,25.46177,28.3142
230,100.1374,4.537786,7.742609,12.99393,24.67694
231, 100.0981, 3.174569, 7.029862, 13.92416, 23.90734
232, 61.22792, 9.326695, 34.68964, , 41.02304
233, 78.31575, 3.91206, 10.24819, , 29.80434
234, 111.0399, 4.319658, 9.919275, 21.41137, 26.31157
235, 106.8927, 6.9365, 13.03561, 26.07649, 29.52794
236, 198.7532, 2.257497, 4.05219, 6.756851, 16.17709
237, 150.1557, 2.312104, 4.780381, 8.095835, 18.11708
238, 87.44205, 4.619479, 10.93901, , 29.25826
239, 60.05173, 10.58127, 42.29287, , 42.69324
240, 96.34855, 3.418526, 8.590859, , 26.49469
241, 100.0322, 2.931269, 7.097892, 19.5022, 24.52172
242, 100.1159, 2.642903, 5.27421, 10.62588, 22.51382
243, 77.54312, 3.837257, 10.1562, , 29.86351
244, 38.7432, 12.22169, , , 54.98567
245, 56.74425, 6.249543, , , 39.24567
246, 100.1932, 2.849159, 5.302299, 9.185469, 22.37278
247, 118.5658, 5.054598, 10.00267, 19.4372, 26.06108
248, 65.73701, 4.737113, 16.7089, , 34.30103
249, 139.9699, 3.036924, 6.577921, 12.64636, 21.58054
250, 38.74321, 11.00134, , , 53.81711
251, 46.35376, 6.968584, , , 45.19984
252, 96.33304, 4.039415, 9.174961, , 27.06588
253, 87.44205, 4.615527, 10.95061, , 29.25792
254, 41.19794, 8.754026, , , 50.03859
255, 105.9131, 3.616724, 7.783566, 20.1939, 24.99225
256, 74.33775, 4.516881, 11.68918, , 31.27665
257, 90.44641, 8.096592, 16.86312, , 33.38755
258, 102.231, 4.425187, 8.914149, 23.98104, 26.26522
259, 84.82987, 4.065534, 11.01662, , 29.35734
260, 81.38688, 8.650199, 16.38593, , 34.60952
261, 41.97884, 10.26096, , , 50.97624
262, 80.27135, 3.721267, 9.542606, , 29.11298
263, 118.6011, 3.983301, 8.919439, 18.35512, 24.99171
264, 100.0742, 4.612573, 9.297332, 18.06724, 26.00397
265, 118.5188, 5.082911, 10.01764, 19.45347, 26.05914
266, 135.9565, 3.627433, 7.326824, 13.83151, 22.50357
267, 100.1932, 3.825644, 6.304419, 10.1741, 23.3759
268, 58.34764, 4.869542, , , 37.22871
269, 92.057, 4.602629, 8.722851, , 27.41542
270, 100.116, 3.619223, 6.256074, 11.60692, 23.48082
271, 65.73564, 4.781367, 16.72201, , 34.3094
272, 109.4159, 4.321615, 8.321402, 19.10949, 25.28158
273, 118.5448, 4.454838, 9.405698, 18.80949, 25.42994
274, 76.45432, 6.422054, 15.4106, , 33.51215
275, 135.987, 3.151064, 6.885903, 13.32254, 22.02576
276, 92.057, 4.634666, 8.765384, , 27.44245
277, 69.49263, 3.773474, 12.99402, , 32.09715
278, 41.97919, 8.504537, , , 49.33951
279, 150.1091, 2.733882, 5.370793, 9.701593, 19.39001
280, 60.06712, 5.359196, 35.47001, , 36.97057
281, 90.52537, 6.102456, 14.87645, , 31.47924
282, 103.3057, 7.201033, 13.77548, 28.42552, 30.31039
283, 100.0445, 6.939087, 13.01016, 26.07747, 29.63039
284, 99.29929, 4.154096, 9.007092, , 26.62915
285, 74.14275, 5.543414, 15.62685, , 33.38198
286, 49.16245, 9.335349, , , 45.90032
287, 139.7833, 3.975722, 7.520406, 13.59329, 22.44512
288, 58.34586, 5.602632, , , 37.9152
289, 176.7998, 3.520728, 5.736707, 9.188579, 18.82384
290, 136.0382, 4.490027, 8.221207, 14.69347, 23.39962
291, 78.32454, 3.264918, 9.600673, , 29.19304
292, 58.34494, 7.033182, , , 39.29621
293, 123.2174, 2.672644, 6.072183, 12.76128, 21.88072
294, 100.283, 3.363898, 5.132022, 7.868786, 22.37384
295, 87.46369, 3.881329, 10.17026, , 28.54223
296, 48.75482, 7.257235, , , 44.05736
297, 60.06784, 4.620593, 34.74821, , 36.24741
298, 69.04793, 9.665076, 22.51674, , 38.79266
299, 65.73564, 4.75418, 16.70648, , 34.29841
300, 100.0372, 4.642452, 8.857729, 20.61391, 26.16582
301, 123.4471, 3.706731, 8.206642, 16.57906, 24.01467
302, 47.84921, 6.672444, , , 43.9679
303, 74.13377, 7.127194, 17.21635, , 34.91887
304, 109.3724, 4.329292, 8.317739, 19.1378, 25.2728
305, 126.1316, 4.265918, 8.485666, 16.32185, 24.15734
306, 132.2705, 4.485586, 8.285253, 15.17382, 23.67725
307, 88.70034, 3.090525, 7.558082, , 26.54409
308, 88.70321, 4.098214, 8.528879, , 27.56871
309, 57.26546, 9.968087, , , 42.51555
310, 99.35471, 3.312807, 8.148125, , 25.85073
311, 126.3206, 3.523921, 7.744328, 15.58004, 23.46788
312, 58.34586, 5.628514, , , 37.90882
313, 150.1091, 3.73064, 6.398889, 10.71411, 20.36545
314, 70.36138, 8.315563, 20.43876, , 37.11048
315, 100.0376, 5.013685, 11.52791, 26.16771, 28.14047
316, 62.33953, 5.251749, 21.67495, , 35.87954
317, 100.0701, 3.920459, 8.704091, 17.82465, 25.41275
318, 100.116, 2.452859, 5.453623, 10.58899, 22.50917
319, 56.75304, 8.32333, , , 41.6504
320, 60.06863, 4.655504, 34.7874, , 36.28676
321, 126.1986, 6.045254, 10.27964, 18.08348, 25.93629
322, 46.35302, 7.986052, , , 46.05068
323, 80.63278, 4.443961, 12.46691, , 30.72096
324, 80.27145, 4.972317, 10.82272, , 30.37833
325, 126.1316, 4.31854, 8.505999, 16.30803, 24.14414
326, 100.0425, 2.884678, 6.888435, 17.69265, 24.20775
327, 109.4416, 2.88647, 6.886052, 17.69199, 23.89364
328, 95.21239, 3.238173, 7.158244, , 25.51346
329, 88.70528, 3.066183, 7.534192, , 26.578
330, 80.75558, 8.203903, 19.72213, , 35.44677

331, 76.46395, 5.416976, 14.42021, , 32.54507
332, 81.416, 4.343025, 12.0468, , 30.35591
333, 143.1464, 2.859936, 6.211465, 11.87907, 21.0319
334, 46.35285, 8.00193, , , 46.03315
335, 119.7811, 6.661152, 11.44414, 20.56441, 27.42043
336, 74.35215, 3.394215, 10.5295, , 30.25423
337, 70.37968, 5.389952, 17.52419, , 34.28435
338, 132.3566, 3.203779, 7.055514, 13.93971, 22.44504
339, 170.0268, 2.40374, 4.767015, 8.623361, 18.25887
340, 100.0981, 4.4741, 8.273693, 15.17802, 25.13074
341, 100.0425, 4.347231, 8.336517, 19.11802, 25.62229
342, 150.1237, 3.819387, 6.35187, 10.38868, 20.15973
343, 61.23195, 7.364138, 32.72359, , 39.10688
344, 78.32454, 3.265106, 9.621716, , 29.20862
345, 74.13948, 7.140713, 17.21263, , 34.953
346, 105.932, 3.5996, 7.782464, 20.20259, 25.00701
347, 53.78247, 6.127205, , , 40.39006
348, 111.0791, 4.372032, 9.909077, 21.3823, 26.33262
349, 60.06103, 6.691751, 38.38585, , 38.86913
350, 76.46047, 6.417827, 15.42247, , 33.53025
351, 92.04858, 3.463799, 7.598662, , 26.21806
352, 118.7896, 2.69611, 5.876453, 13.61557, 22.21609
353, 165.7241, 2.535407, 5.235039, 9.10857, 18.74537
354, 48.75527, 6.454663, , , 43.3181
355, 100.0156, 2.773405, 6.089075, 20.48182, 23.91264
356, 70.37968, 5.380311, 17.51611, , 34.27637
357, 131.5878, 3.375585, 7.389777, 14.52496, 22.81378
358, 48.75504, 6.483725, , , 43.31026
359, 103.4377, 4.949402, 11.51873, 26.1724, 28.14126
360, 95.84374, 7.642021, 15.34079, , 32.0012
361, 100.0782, 3.699221, 8.250735, 16.5711, 24.95375
362, 77.5467, 3.234702, 9.532666, , 29.25643
363, 103.3391, 7.252922, 13.77436, 28.44447, 30.32783
364, 51.79845, 6.474586, , , 41.688
365, 69.06525, 5.450045, 18.3704, , 34.69384
366, 95.27361, 2.734027, 6.749087, , 24.98889
367, 100.1153, 3.996298, 7.533397, 13.58024, 24.35354
368, 146.634, 3.38998, 6.527519, 11.87873, 21.16205
369, 100.1695, 3.706818, 6.376081, 10.69518, 23.45305
370, 60.05745, 7.58628, 39.26707, , 39.70245
371, 177.0819, 2.314625, 4.751933, 8.088709, 17.75514
372, 81.38332, 5.505239, 13.20846, , 31.43238
373, 56.74527, 5.104926, , , 38.13628
374, 67.08775, 3.926737, 14.37744, , 32.93718
375, 60.06545, 7.659156, 37.7868, , 39.21812
376, 80.27135, 3.743427, 9.579694, , 29.14136
377, 80.76549, 9.084581, 20.60501, , 36.34453
378, 84.82987, 4.057738, 11.03084, , 29.34919
379, 80.80251, 7.266863, 18.85469, , 34.62632
380, 92.02697, 3.719097, 9.517328, , 27.6092
381, 56.74527, 5.115502, , , 38.15926
382, 99.35471, 3.304027, 8.156598, , 25.8428
383, 160.154, 2.51421, 5.050559, 9.402925, 19.0068
384, 100.0408, 5.482452, 11.75618, 25.47408, 28.37477
385, 53.78362, 5.382912, , , 39.67801
386, 56.75104, 8.308282, , , 41.6202
387, 148.7726, 2.806334, 6.00596, 11.24233, 20.50945
388, 150.6689, 2.669742, 5.769079, 10.83743, 20.18974
389, 118.8162, 2.681396, 5.869844, 13.58448, 22.22713
390, 49.1593, 10.91248, , , 47.3586
391, 148.7726, 2.801257, 6.004811, 11.25308, 20.5092
392, 100.1826, 2.338954, 4.407822, 8.121716, 21.66165
393, 100.1428, 4.144954, 7.214424, 12.31232, 24.20031
394, 82.86567, 7.365046, 14.81715, , 33.04575
395, 82.89412, 4.274578, 11.71021, , 30.01781
396, 100.0376, 5.867362, 12.38658, 27.02665, 28.97484
397, 70.36138, 8.317618, 20.42543, , 37.11416
398, 150.0718, 2.330342, 4.3837, 8.103257, 18.37079
399, 71.67824, 6.797119, 15.00142, , 34.39528
400, 78.32026, 4.667274, 11.0044, , 30.59484
401, 107.3921, 4.646286, 8.846558, 20.63424, 25.95519
402, 81.37874, 8.670673, 16.37488, , 34.5926
403, 106.8488, 5.373075, 11.45593, 24.49608, 27.94343
404, 96.32535, 4.74931, 9.93317, , 27.79272
405, 121.5225, 4.601421, 9.301063, 18.0736, 25.17705
406, 47.84781, 7.553467, , , 44.76702
407, 80.27737, 3.129547, 8.983844, , 28.57559
408, 100.0969, 4.002823, 8.002382, 15.12239, 24.79473
409, 74.3409, 6.461873, 13.66146, , 33.25287
410, 91.99158, 4.218426, 10.01912, , 28.04251
411, 53.78286, 6.120135, , , 40.39968
412, 82.85681, 7.376928, 14.82915, , 33.03692
413, 41.97884, 10.29537, , , 50.99496
414, 33.24789, 15.68608, , , 60.48515
415, 90.4766, 7.048443, 15.85339, , 32.40821
416, 41.97892, 10.24824, , , 50.99536
417, 38.74321, 11.00314, , , 53.81733
418, 51.79927, 5.784881, , , 41.0805
419, 69.04793, 9.681119, 22.55529, , 38.8252
420, 100.0225, 3.073779, 7.57275, 22.67654, 25.11405
421, 123.2174, 2.686235, 6.105941, 12.77835, 21.90984
422, 100.0782, 6.022322, 10.52123, 18.87297, 27.24444
423, 100.0566, 6.585246, 11.77102, 22.40574, 28.46084
424, 99.35471, 3.274, 8.137578, , 25.84627
425, 101.979, 2.784913, 6.085343, 20.50988, 23.87707
