Mass,Drag,Traction,Full Torque Over All Wheel,Top Speed,Wheel Radius,Car
1100,0.05,0,2150,100,0.3,0
1100,0.05,0,2150,100,0.3,1
1100,0.05,0,2150,100,0.3,2
1100,0.05,0,2150,100,0.4,0
1100,0.05,0,2150,100,0.4,1
1100,0.05,0,2150,100,0.4,2
1100,0.05,0,2150,100,0.5,0
1100,0.05,0,2150,100,0.5,1
1100,0.05,0,2150,100,0.5,2
1100,0.05,0,2150,150,0.3,0
1100,0.05,0,2150,150,0.3,1
1100,0.05,0,2150,150,0.3,2
1100,0.05,0,2150,150,0.4,0
1100,0.05,0,2150,150,0.4,1
1100,0.05,0,2150,150,0.4,2
1100,0.05,0,2150,150,0.5,0
1100,0.05,0,2150,150,0.5,1
1100,0.05,0,2150,150,0.5,2
1100,0.05,0,2150,200,0.3,0
1100,0.05,0,2150,200,0.3,1
1100,0.05,0,2150,200,0.3,2
1100,0.05,0,2150,200,0.4,0
1100,0.05,0,2150,200,0.4,1
1100,0.05,0,2150,200,0.4,2
1100,0.05,0,2150,200,0.5,0
1100,0.05,0,2150,200,0.5,1
1100,0.05,0,2150,200,0.5,2
1100,0.05,0,2500,100,0.3,0
1100,0.05,0,2500,100,0.3,1
1100,0.05,0,2500,100,0.3,2
1100,0.05,0,2500,100,0.4,0
1100,0.05,0,2500,100,0.4,1
1100,0.05,0,2500,100,0.4,2
1100,0.05,0,2500,100,0.5,0
1100,0.05,0,2500,100,0.5,1
1100,0.05,0,2500,100,0.5,2
1100,0.05,0,2500,150,0.3,0
1100,0.05,0,2500,150,0.3,1
1100,0.05,0,2500,150,0.3,2
1100,0.05,0,2500,150,0.4,0
1100,0.05,0,2500,150,0.4,1
1100,0.05,0,2500,150,0.4,2
1100,0.05,0,2500,150,0.5,0
1100,0.05,0,2500,150,0.5,1
1100,0.05,0,2500,150,0.5,2
1100,0.05,0,2500,200,0.3,0
1100,0.05,0,2500,200,0.3,1
1100,0.05,0,2500,200,0.3,2
1100,0.05,0,2500,200,0.4,0
1100,0.05,0,2500,200,0.4,1
1100,0.05,0,2500,200,0.4,2
1100,0.05,0,2500,200,0.5,0
1100,0.05,0,2500,200,0.5,1
1100,0.05,0,2500,200,0.5,2
1100,0.05,0,3000,100,0.3,0
1100,0.05,0,3000,100,0.3,1
1100,0.05,0,3000,100,0.3,2
1100,0.05,0,3000,100,0.4,0
1100,0.05,0,3000,100,0.4,1
1100,0.05,0,3000,100,0.4,2
1100,0.05,0,3000,100,0.5,0
1100,0.05,0,3000,100,0.5,1
1100,0.05,0,3000,100,0.5,2
1100,0.05,0,3000,150,0.3,0
1100,0.05,0,3000,150,0.3,1
1100,0.05,0,3000,150,0.3,2
